timestamp_unix,t_in,t_ext,rh,pwm,door,ctrl_mode,phase,session_id,scenario,t_pred,err,integral,kp,ki,kd
1778974802,37.45,28.52,50.30,19,1,tinyml,,,,37.450,0.000,0.000,0.000,0.000,0.000
1778974807,37.42,28.51,50.30,100,1,tinyml,,,,33.304,0.000,0.000,0.000,0.000,0.000
1778974812,37.35,28.55,50.30,100,1,tinyml,,,,33.958,0.000,0.000,0.000,0.000,0.000
1778974817,37.30,28.51,50.50,100,1,tinyml,,,,34.482,0.000,0.000,0.000,0.000,0.000
1778974822,37.24,28.54,50.50,100,1,tinyml,,,,35.006,0.000,0.000,0.000,0.000,0.000
1778974827,37.19,28.55,50.70,98,1,tinyml,,,,35.267,0.000,0.000,0.000,0.000,0.000
1778974832,37.14,28.54,50.70,79,1,tinyml,,,,35.791,0.000,0.000,0.000,0.000,0.000
1778974837,37.13,28.55,50.70,74,1,tinyml,,,,35.922,0.000,0.000,0.000,0.000,0.000
1778974842,37.11,28.56,50.80,46,1,tinyml,,,,36.707,0.000,0.000,0.000,0.000,0.000
1778974847,37.14,28.55,50.80,51,1,tinyml,,,,36.576,0.000,0.000,0.000,0.000,0.000
1778974852,37.19,28.56,50.70,41,1,tinyml,,,,36.838,0.000,0.000,0.000,0.000,0.000
1778974857,37.24,28.58,50.70,27,1,tinyml,,,,37.231,0.000,0.000,0.000,0.000,0.000
1778974862,37.31,28.59,50.60,22,1,tinyml,,,,37.362,0.000,0.000,0.000,0.000,0.000
1778974867,37.37,28.59,50.40,22,1,tinyml,,,,37.362,0.000,0.000,0.000,0.000,0.000
1778974872,37.44,28.62,50.40,13,1,tinyml,,,,37.624,0.000,0.000,0.000,0.000,0.000
1778974877,37.47,28.62,50.30,18,1,tinyml,,,,37.493,0.000,0.000,0.000,0.000,0.000
1778974882,37.51,28.65,50.20,8,1,tinyml,,,,37.754,0.000,0.000,0.000,0.000,0.000
1778974887,37.51,28.66,50.10,18,1,tinyml,,,,37.493,0.000,0.000,0.000,0.000,0.000
1778974892,37.53,28.69,50.10,13,1,tinyml,,,,37.624,0.000,0.000,0.000,0.000,0.000
1778974897,37.49,28.68,50.10,13,1,tinyml,,,,37.624,0.000,0.000,0.000,0.000,0.000
1778974902,37.49,28.66,50.10,8,1,tinyml,,,,37.754,0.000,0.000,0.000,0.000,0.000
1778974907,37.47,28.68,50.20,0,1,tinyml,,,,38.016,0.000,0.000,0.000,0.000,0.000
1778974912,37.42,28.68,50.20,13,1,tinyml,,,,37.624,0.000,0.000,0.000,0.000,0.000
1778974917,37.35,28.66,50.20,8,1,tinyml,,,,37.754,0.000,0.000,0.000,0.000,0.000
1778974922,37.33,28.65,50.30,13,1,tinyml,,,,37.624,0.000,0.000,0.000,0.000,0.000
1778974927,37.26,28.71,50.40,8,1,tinyml,,,,37.754,0.000,0.000,0.000,0.000,0.000
1778974932,37.20,28.68,50.50,4,1,tinyml,,,,37.885,0.000,0.000,0.000,0.000,0.000
1778974937,37.13,28.71,50.60,0,1,tinyml,,,,38.016,0.000,0.000,0.000,0.000,0.000
1778974942,37.03,28.68,50.80,13,1,tinyml,,,,37.624,0.000,0.000,0.000,0.000,0.000
1778974947,36.99,28.65,50.80,4,1,tinyml,,,,37.885,0.000,0.000,0.000,0.000,0.000
1778974952,36.90,28.65,51.00,8,1,tinyml,,,,37.754,0.000,0.000,0.000,0.000,0.000
1778974957,36.82,28.66,51.10,0,1,tinyml,,,,38.016,0.000,0.000,0.000,0.000,0.000
