timestamp_unix,t_in,t_ext,rh,pwm,door,ctrl_mode,phase,session_id,scenario,t_pred,err,integral,kp,ki,kd
1779007549,32.72,32.16,57.40,60,1,tinyml,,,,32.720,0.000,0.000,0.000,0.000,0.000
1779007554,32.86,32.17,57.00,60,1,tinyml,,,,32.860,0.000,0.000,0.000,0.000,0.000
1779007559,32.99,32.16,56.70,60,1,tinyml,,,,32.990,0.000,0.000,0.000,0.000,0.000
1779007564,33.15,32.20,56.30,60,1,tinyml,,,,33.150,0.000,0.000,0.000,0.000,0.000
1779007569,33.34,32.17,55.90,60,1,tinyml,,,,33.340,0.000,0.000,0.000,0.000,0.000
1779007574,33.55,32.16,55.50,60,1,tinyml,,,,33.550,0.000,0.000,0.000,0.000,0.000
1779007579,33.75,32.17,55.10,60,1,tinyml,,,,33.750,0.000,0.000,0.000,0.000,0.000
1779007584,33.91,32.18,54.60,60,1,tinyml,,,,33.910,0.000,0.000,0.000,0.000,0.000
1779007589,34.13,32.17,54.30,60,1,tinyml,,,,34.130,0.000,0.000,0.000,0.000,0.000
1779007594,34.36,32.17,53.80,60,1,tinyml,,,,34.360,0.000,0.000,0.000,0.000,0.000
1779007599,34.54,32.14,53.30,60,1,tinyml,,,,34.540,0.000,0.000,0.000,0.000,0.000
1779007604,34.79,32.14,52.90,57,1,tinyml,,,,34.790,0.000,0.000,0.000,0.000,0.000
1779007609,35.02,32.14,52.40,53,1,tinyml,,,,35.020,0.000,0.000,0.000,0.000,0.000
1779007614,35.21,32.14,51.90,50,1,tinyml,,,,35.210,0.000,0.000,0.000,0.000,0.000
1779007619,35.46,32.14,51.50,45,1,tinyml,,,,35.460,0.000,0.000,0.000,0.000,0.000
1779007624,35.69,32.16,51.00,41,1,tinyml,,,,35.690,0.000,0.000,0.000,0.000,0.000
1779007629,35.91,32.18,50.50,37,1,tinyml,,,,35.910,0.000,0.000,0.000,0.000,0.000
1779007634,36.12,32.14,50.10,33,1,tinyml,,,,36.120,0.000,0.000,0.000,0.000,0.000
1779007639,36.29,32.14,49.70,30,1,tinyml,,,,36.290,0.000,0.000,0.000,0.000,0.000
1779007644,36.48,32.17,49.40,27,1,tinyml,,,,36.480,0.000,0.000,0.000,0.000,0.000
1779007649,36.65,32.17,49.00,24,1,tinyml,,,,36.650,0.000,0.000,0.000,0.000,0.000
1779007654,36.76,32.16,48.80,22,1,tinyml,,,,36.760,0.000,0.000,0.000,0.000,0.000
1779007659,36.90,32.17,48.50,19,1,tinyml,,,,36.900,0.000,0.000,0.000,0.000,0.000
1779007664,37.04,32.16,48.30,17,1,tinyml,,,,37.040,0.000,0.000,0.000,0.000,0.000
1779007669,37.13,32.16,48.10,15,1,tinyml,,,,37.130,0.000,0.000,0.000,0.000,0.000
1779007674,37.20,32.17,47.90,14,1,tinyml,,,,37.200,0.000,0.000,0.000,0.000,0.000
1779007679,37.26,32.14,47.80,13,1,tinyml,,,,37.260,0.000,0.000,0.000,0.000,0.000
1779007684,37.33,32.14,47.70,12,1,tinyml,,,,37.330,0.000,0.000,0.000,0.000,0.000
1779007689,37.39,32.17,47.60,10,1,tinyml,,,,37.390,0.000,0.000,0.000,0.000,0.000
1779007694,37.39,32.16,47.50,10,1,tinyml,,,,37.390,0.000,0.000,0.000,0.000,0.000
1779007699,37.39,32.20,47.40,10,1,tinyml,,,,37.390,0.000,0.000,0.000,0.000,0.000
1779007704,37.41,32.18,47.40,10,1,tinyml,,,,37.410,0.000,0.000,0.000,0.000,0.000
1779007709,37.39,32.16,47.40,10,1,tinyml,,,,37.390,0.000,0.000,0.000,0.000,0.000
1779007714,37.38,32.17,47.40,11,1,tinyml,,,,37.380,0.000,0.000,0.000,0.000,0.000
1779007719,37.35,32.18,47.40,11,1,tinyml,,,,37.350,0.000,0.000,0.000,0.000,0.000
1779007724,37.33,32.18,47.40,12,1,tinyml,,,,37.330,0.000,0.000,0.000,0.000,0.000
1779007729,37.30,32.17,47.50,12,1,tinyml,,,,37.300,0.000,0.000,0.000,0.000,0.000
1779007734,37.27,32.16,47.50,13,1,tinyml,,,,37.270,0.000,0.000,0.000,0.000,0.000
1779007739,37.23,32.17,47.60,13,1,tinyml,,,,37.230,0.000,0.000,0.000,0.000,0.000
1779007744,37.20,32.16,47.60,14,1,tinyml,,,,37.200,0.000,0.000,0.000,0.000,0.000
1779007749,37.14,32.17,47.70,15,1,tinyml,,,,37.140,0.000,0.000,0.000,0.000,0.000
1779007754,37.11,32.14,47.80,16,1,tinyml,,,,37.110,0.000,0.000,0.000,0.000,0.000
1779007759,37.07,32.14,47.80,16,1,tinyml,,,,37.070,0.000,0.000,0.000,0.000,0.000
1779007764,37.01,32.16,47.90,17,1,tinyml,,,,37.010,0.000,0.000,0.000,0.000,0.000
1779007769,36.96,32.17,48.00,18,1,tinyml,,,,36.960,0.000,0.000,0.000,0.000,0.000
