timestamp_unix,t_in,t_ext,rh,pwm,door,ctrl_mode,phase,session_id,scenario,t_pred,err,integral,kp,ki,kd
1778993189,32.76,32.47,60.80,60,1,tinyml,,,,32.760,0.000,0.000,0.000,0.000,0.000
1778993194,32.88,32.49,60.50,60,1,tinyml,,,,32.880,0.000,0.000,0.000,0.000,0.000
1778993199,33.00,32.44,60.20,60,1,tinyml,,,,33.000,0.000,0.000,0.000,0.000,0.000
1778993204,33.18,32.45,59.80,60,1,tinyml,,,,33.180,0.000,0.000,0.000,0.000,0.000
1778993209,33.30,32.48,59.40,60,1,tinyml,,,,33.300,0.000,0.000,0.000,0.000,0.000
1778993214,33.54,32.47,58.90,60,1,tinyml,,,,33.540,0.000,0.000,0.000,0.000,0.000
1778993219,33.74,32.45,58.50,60,1,tinyml,,,,33.740,0.000,0.000,0.000,0.000,0.000
1778993224,33.92,32.44,58.00,60,1,tinyml,,,,33.920,0.000,0.000,0.000,0.000,0.000
1778993229,34.13,32.47,57.60,60,1,tinyml,,,,34.130,0.000,0.000,0.000,0.000,0.000
1778993234,34.35,32.45,57.10,60,1,tinyml,,,,34.350,0.000,0.000,0.000,0.000,0.000
1778993239,34.57,32.44,56.60,60,1,tinyml,,,,34.570,0.000,0.000,0.000,0.000,0.000
1778993244,34.79,32.45,56.20,57,1,tinyml,,,,34.790,0.000,0.000,0.000,0.000,0.000
1778993249,35.04,32.45,55.60,53,1,tinyml,,,,35.040,0.000,0.000,0.000,0.000,0.000
1778993254,35.24,32.45,55.20,49,1,tinyml,,,,35.240,0.000,0.000,0.000,0.000,0.000
1778993259,35.45,32.44,54.80,45,1,tinyml,,,,35.450,0.000,0.000,0.000,0.000,0.000
1778993264,35.65,32.42,54.30,42,1,tinyml,,,,35.650,0.000,0.000,0.000,0.000,0.000
1778993269,35.86,32.42,53.90,38,1,tinyml,,,,35.860,0.000,0.000,0.000,0.000,0.000
1778993274,36.05,32.42,53.50,35,1,tinyml,,,,36.050,0.000,0.000,0.000,0.000,0.000
1778993279,36.23,32.42,53.10,31,1,tinyml,,,,36.230,0.000,0.000,0.000,0.000,0.000
1778993284,36.39,32.44,52.70,28,1,tinyml,,,,36.390,0.000,0.000,0.000,0.000,0.000
1778993289,36.57,32.41,52.40,25,1,tinyml,,,,36.570,0.000,0.000,0.000,0.000,0.000
1778993294,36.73,32.41,52.00,22,1,tinyml,,,,36.730,0.000,0.000,0.000,0.000,0.000
1778993299,36.87,32.41,51.70,20,1,tinyml,,,,36.870,0.000,0.000,0.000,0.000,0.000
1778993304,36.97,32.41,51.50,18,1,tinyml,,,,36.970,0.000,0.000,0.000,0.000,0.000
1778993309,37.03,32.41,51.20,17,1,tinyml,,,,37.030,0.000,0.000,0.000,0.000,0.000
1778993314,37.13,32.44,51.10,15,1,tinyml,,,,37.130,0.000,0.000,0.000,0.000,0.000
