timestamp_unix,t_in,t_ext,rh,pwm,door,ctrl_mode,phase,session_id,scenario,t_pred,err,integral,kp,ki,kd
1778968555,28.91,28.37,71.20,60,1,tinyml,,,,28.910,0.000,0.000,0.000,0.000,0.000
1778968560,29.08,28.37,70.80,60,1,tinyml,,,,29.080,0.000,0.000,0.000,0.000,0.000
1778968565,29.28,28.35,70.10,60,1,tinyml,,,,29.280,0.000,0.000,0.000,0.000,0.000
1778968570,29.43,28.35,69.50,60,1,tinyml,,,,29.430,0.000,0.000,0.000,0.000,0.000
1778968575,29.67,28.38,68.80,60,1,tinyml,,,,29.670,0.000,0.000,0.000,0.000,0.000
1778968580,29.89,28.37,68.10,60,1,tinyml,,,,29.890,0.000,0.000,0.000,0.000,0.000
1778968585,30.14,28.40,67.30,60,1,tinyml,,,,30.140,0.000,0.000,0.000,0.000,0.000
1778968590,30.38,28.38,66.60,60,1,tinyml,,,,30.380,0.000,0.000,0.000,0.000,0.000
1778968595,30.65,28.38,65.80,60,1,tinyml,,,,30.650,0.000,0.000,0.000,0.000,0.000
1778968600,30.90,28.41,65.10,60,1,tinyml,,,,30.900,0.000,0.000,0.000,0.000,0.000
1778968605,31.13,28.41,64.40,60,1,tinyml,,,,31.130,0.000,0.000,0.000,0.000,0.000
1778968610,31.41,28.43,63.80,60,1,tinyml,,,,31.410,0.000,0.000,0.000,0.000,0.000
1778968615,31.61,28.41,63.20,60,1,tinyml,,,,31.610,0.000,0.000,0.000,0.000,0.000
1778968620,31.83,28.43,62.50,60,1,tinyml,,,,31.830,0.000,0.000,0.000,0.000,0.000
1778968625,32.09,28.43,61.90,60,1,tinyml,,,,32.090,0.000,0.000,0.000,0.000,0.000
1778968630,32.34,28.41,61.30,60,1,tinyml,,,,32.340,0.000,0.000,0.000,0.000,0.000
1778968635,32.57,28.41,60.70,60,1,tinyml,,,,32.570,0.000,0.000,0.000,0.000,0.000
1778968640,32.83,28.40,60.10,60,1,tinyml,,,,32.830,0.000,0.000,0.000,0.000,0.000
1778968645,33.05,28.38,59.50,60,1,tinyml,,,,33.050,0.000,0.000,0.000,0.000,0.000
1778968650,33.27,28.41,58.90,60,1,tinyml,,,,33.270,0.000,0.000,0.000,0.000,0.000
1778968655,33.49,28.41,58.40,60,1,tinyml,,,,33.490,0.000,0.000,0.000,0.000,0.000
1778968660,33.71,28.40,57.90,60,1,tinyml,,,,33.710,0.000,0.000,0.000,0.000,0.000
1778968665,33.97,28.41,57.40,60,1,tinyml,,,,33.970,0.000,0.000,0.000,0.000,0.000
1778968670,34.18,28.43,56.90,60,1,tinyml,,,,34.180,0.000,0.000,0.000,0.000,0.000
1778968675,34.37,28.41,56.40,60,1,tinyml,,,,34.370,0.000,0.000,0.000,0.000,0.000
1778968680,34.61,28.40,55.90,60,1,tinyml,,,,34.610,0.000,0.000,0.000,0.000,0.000
1778968685,34.83,28.40,55.40,60,1,tinyml,,,,34.830,0.000,0.000,0.000,0.000,0.000
1778968690,35.01,28.40,55.00,60,1,tinyml,,,,35.010,0.000,0.000,0.000,0.000,0.000
1778968695,35.24,28.40,54.50,60,1,tinyml,,,,35.240,0.000,0.000,0.000,0.000,0.000
1778968700,35.42,28.43,54.10,60,1,tinyml,,,,35.420,0.000,0.000,0.000,0.000,0.000
